% rows 501 cols 4
 -0.49600     1.5129     0.7520     4.0455
 -0.49200     1.5054     0.7644     4.1468
 -0.48800     1.4984     0.7772     4.2449
 -0.48400     1.4870     0.7898     4.3349
 -0.48000     1.4691     0.8028     4.4105
 -0.47600     1.4494     0.8203     4.4850
 -0.47200     1.4276     0.8415     4.5597
 -0.46800     1.4055     0.8616     4.6387
 -0.46400     1.3861     0.8807     4.7281
 -0.46000     1.3701     0.9000     4.8299
 -0.45600     1.3592     0.9195     4.9498
 -0.45200     1.3514     0.9398     5.0790
 -0.44800     1.3446     0.9625     5.2207
 -0.44400     1.3374     0.9868     5.3705
 -0.44000     1.3287     1.0113     5.5176
 -0.43600     1.3178     1.0376     5.6684
 -0.43200     1.3100     1.0754     5.8617
 -0.42800     1.3081     1.1309     6.1237
 -0.42400     1.3129     1.2029     6.4510
 -0.42000     1.3234     1.2828     6.8450
 -0.41600     1.3439     1.3761     7.3910
 -0.41200     1.3789     1.4958     8.0430
 -0.40800     1.4117     1.6219     8.4770
 -0.40400     1.3885     1.6536     8.4399
 -0.40000     1.3287     1.6153     8.2077
 -0.39600     1.2580     1.5535     7.8650
 -0.39200     1.1152     1.3591     7.0518
 -0.38800     0.9727     1.1595     6.2688
 -0.38400     0.8871     1.0598     5.8462
 -0.38000     0.8195     0.9895     5.5260
 -0.37600     0.7656     0.9378     5.2931
 -0.37200     0.7194     0.8929     5.1103
 -0.36800     0.6745     0.8500     4.9497
 -0.36400     0.6329     0.8138     4.8205
 -0.36000     0.6003     0.7883     4.7348
 -0.35600     0.5705     0.7640     4.6454
 -0.35200     0.5395     0.7359     4.5259
 -0.34800     0.5087     0.7079     4.4062
 -0.34400     0.4785     0.6816     4.3010
 -0.34000     0.4509     0.6551     4.2095
 -0.33600     0.4282     0.6348     4.1502
 -0.33200     0.4102     0.6260     4.1336
 -0.32800     0.3974     0.6258     4.1646
 -0.32400     0.3772     0.6191     4.1755
 -0.32000     0.3503     0.6030     4.1393
 -0.31600     0.3285     0.5900     4.1046
 -0.31200     0.3097     0.5835     4.0938
 -0.30800     0.2887     0.5655     4.0084
 -0.30400     0.2667     0.5394     3.8695
 -0.30000     0.2556     0.5321     3.9030
 -0.29600     0.2332     0.5207     3.8081
 -0.29200     0.1908     0.4950     3.4441
 -0.28800     0.1521     0.4728     3.1080
 -0.28400     0.1282     0.4617     2.9279
 -0.28000     0.1152     0.4584     2.8568
 -0.27600     0.1046     0.4592     2.7991
 -0.27200     0.0914     0.4540     2.7164
 -0.26800     0.0741     0.4384     2.5931
 -0.26400     0.0629     0.4312     2.5179
 -0.26000     0.0569     0.4306     2.4825
 -0.25600     0.0515     0.4298     2.4499
 -0.25200     0.0469     0.4316     2.4332
 -0.24800     0.0435     0.4372     2.4428
 -0.24400     0.0414     0.4495     2.4962
 -0.24000     0.0407     0.4770     2.6633
 -0.23600     0.0416     0.6620     4.2445
 -0.23200     0.0388     1.0509     7.6784
 -0.22800     0.0355     1.3809    10.7046
 -0.22400     0.0371     1.5437    12.5127
 -0.22000     0.0419     1.8257    15.0094
 -0.21600     0.0494     2.0473    17.4581
 -0.21200     0.0549     1.9368    17.3512
 -0.20800     0.0572     1.7623    16.0765
 -0.20400     0.0560     1.6088    15.0015
 -0.20000     0.0525     1.3480    13.4200
 -0.19600     0.0496     1.0784    11.9532
 -0.19200     0.0588     0.9604    11.1890
 -0.18800     0.0674     0.8940    10.6655
 -0.18400     0.0670     0.8396    10.2631
 -0.18000     0.0696     0.8210     9.9894
 -0.17600     0.0727     0.8134     9.7501
 -0.17200     0.0764     0.8168     9.5525
 -0.16800     0.0809     0.8499     9.4279
 -0.16400     0.0866     0.8803     9.3013
 -0.16000     0.0940     0.9061     9.2061
 -0.15600     0.1015     0.9617     9.2073
 -0.15200     0.1080     1.0504     9.2683
 -0.14800     0.1131     1.1417     9.3249
 -0.14400     0.1172     1.2054     9.3365
 -0.14000     0.1207     1.2466     9.3417
 -0.13600     0.1234     1.2770     9.3663
 -0.13200     0.1262     1.2983     9.2185
 -0.12800     0.1298     1.3111     8.9023
 -0.12400     0.1337     1.3349     8.7016
 -0.12000     0.1384     1.3725     8.6035
 -0.11600     0.1444     1.4154     8.5567
 -0.11200     0.1481     1.4457     8.4511
 -0.10800     0.1478     1.4622     8.2636
 -0.10400     0.1483     1.4843     8.1294
 -0.10000     0.1518     1.5229     8.1222
 -0.09600     0.1570     1.5584     8.1913
 -0.09200     0.1619     1.5739     8.2529
 -0.08800     0.1646     1.5714     8.2855
 -0.08400     0.1672     1.5775     8.3515
 -0.08000     0.1708     1.6022     8.4740
 -0.07600     0.1746     1.6446     8.6605
 -0.07200     0.1800     1.7167     8.9893
 -0.06800     0.1870     1.7976     9.4056
 -0.06400     0.1946     1.8728     9.8430
 -0.06000     0.2059     1.9681    10.4213
 -0.05600     0.2328     2.1439    11.4076
 -0.05200     0.2650     2.3134    12.3700
 -0.04800     0.2799     2.3464    12.6811
 -0.04400     0.2810     2.2866    12.5344
 -0.04000     0.2783     2.2049    12.2826
 -0.03600     0.2748     2.1253    12.0501
 -0.03200     0.2676     2.0330    11.7556
 -0.02800     0.2606     1.9461    11.4735
 -0.02400     0.2564     1.8832    11.3103
 -0.02000     0.2414     1.7848    10.8436
 -0.01600     0.2176     1.6556    10.1057
 -0.01200     0.1992     1.5539     9.5634
 -0.00800     0.1850     1.4731     9.1901
 -0.00400     0.1730     1.4048     8.9619
  0.00000     0.1622     1.3432     8.7674
  0.00400     0.1514     1.2820     8.5086
  0.00800     0.1425     1.2288     8.3064
  0.01200     0.1356     1.1855     8.3817
  0.01600     0.1290     1.1446     8.3488
  0.02000     0.1228     1.1037     8.0539
  0.02400     0.1171     1.0631     7.5108
  0.02800     0.1120     1.0178     5.7574
  0.03200     0.1075     0.9774     4.0171
  0.03600     0.1036     0.9465     3.4422
  0.04000     0.1002     0.9196     3.2529
  0.04400     0.0971     0.8966     3.1386
  0.04800     0.0941     0.8753     3.0157
  0.05200     0.0912     0.8546     2.9417
  0.05600     0.0885     0.8343     2.8710
  0.06000     0.0858     0.8137     2.8032
  0.06400     0.0831     0.7916     2.7403
  0.06800     0.0805     0.7707     2.7132
  0.07200     0.0779     0.7507     2.6652
  0.07600     0.0754     0.7316     2.5603
  0.08000     0.0731     0.7151     2.4796
  0.08400     0.0704     0.6983     2.4357
  0.08800     0.0674     0.6810     2.4108
  0.09200     0.0649     0.6657     2.4033
  0.09600     0.0628     0.6516     2.4059
  0.10000     0.0607     0.6374     2.4149
  0.10400     0.0587     0.6231     2.4326
  0.10800     0.0569     0.6128     2.5608
  0.11200     0.0551     0.6019     2.6979
  0.11600     0.0535     0.5872     2.7103
  0.12000     0.0519     0.5745     2.7333
  0.12400     0.0503     0.5626     2.7930
  0.12800     0.0485     0.5510     2.8339
  0.13200     0.0464     0.5402     2.8556
  0.13600     0.0443     0.5295     2.8791
  0.14000     0.0424     0.5194     2.9224
  0.14400     0.0408     0.5111     2.9806
  0.14800     0.0393     0.5045     3.0368
  0.15200     0.0380     0.4964     3.0901
  0.15600     0.0367     0.4867     3.1552
  0.16000     0.0355     0.4781     3.2441
  0.16400     0.0344     0.4700     3.3523
  0.16800     0.0333     0.4619     3.4865
  0.17200     0.0322     0.4541     3.6317
  0.17600     0.0313     0.4477     3.7657
  0.18000     0.0308     0.4440     3.8888
  0.18400     0.0307     0.4444     4.0383
  0.18800     0.0300     0.4412     4.2267
  0.19200     0.0282     0.4275     4.4165
  0.19600     0.0270     0.4159     4.5838
  0.20000     0.0271     0.4116     4.7420
  0.20400     0.0275     0.4087     4.9314
  0.20800     0.0284     0.4064     5.1559
  0.21200     0.0295     0.4047     5.4048
  0.21600     0.0309     0.4036     5.6719
  0.22000     0.0340     0.4043     6.0026
  0.22400     0.0406     0.4074     6.4451
  0.22800     0.0535     0.4127     7.0370
  0.23200     0.0738     0.4208     7.8136
  0.23600     0.0973     0.4299     8.6775
  0.24000     0.1190     0.4363     9.4901
  0.24400     0.1315     0.4352    10.0928
  0.24800     0.1206     0.4203    10.1883
  0.25200     0.1068     0.4072    10.2569
  0.25600     0.1074     0.4088    10.7771
  0.26000     0.1090     0.4126    11.3750
  0.26400     0.1098     0.3970    11.8999
  0.26800     0.1098     0.3713    12.3953
  0.27200     0.1088     0.3538    12.9347
  0.27600     0.1066     0.3391    13.7034
  0.28000     0.1047     0.3263    14.1519
  0.28400     0.1042     0.3155    14.2807
  0.28800     0.1038     0.3066    14.4614
  0.29200     0.1033     0.2991    14.5157
  0.29600     0.1031     0.2932    14.7076
  0.30000     0.1018     0.2893    14.7586
  0.30400     0.1000     0.2861    14.7490
  0.30800     0.0997     0.2826    14.8420
  0.31200     0.1005     0.2800    14.7369
